id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
30134,Williams,tube,13.79,2731.0,0.097,,9.5,1836.0,1.8
19311,Thompson,tube,12.07,4109.0,-0.0444,1.9,1.9,696.0,3.9
24373,,tube,3.45,7893.0,-0.0591,10.3,,,7.9
6356,,tube,3.76,2889.0,0.0374,4.6,4.6,,4.6
7043,Thompson,tube,,4069.0,0.0281,4.6,4.6,229.0,2.8
2195,,tube,13.79,3700.0,-0.0779,,1.9,,2.9
27990,Weatherhead,tube,13.79,2007.0,-0.1479,7.7,7.7,457.0,3.5
23869,Thompson,tube,13.79,956.0,-0.1184,7.7,7.7,,3.6
23249,,tube,10.41,4069.0,0.1244,4.6,4.6,229.0,5.1
29422,,annulus,8.27,1370.0,0.1274,,,2134.0,1.5
19438,Beus,,15.51,2717.0,0.1715,5.6,15.2,,1.8
24796,Janssen,annulus,6.89,,0.159,,,,2.1
26064,Thompson,,15.51,2075.0,-0.0058,1.9,1.9,152.0,1.4
12537,Thompson,tube,13.79,705.0,0.0406,4.7,4.7,318.0,2.1
547,Thompson,tube,10.34,7907.0,-0.0992,10.3,10.3,,3.2
29025,Weatherhead,tube,13.79,1336.0,-0.0158,7.7,7.7,457.0,2.0
17653,Thompson,tube,6.89,3797.0,-0.0477,37.5,37.5,1953.0,3.9
14313,Janssen,annulus,9.65,,-0.0093,12.7,42.3,1778.0,3.1
9518,Weatherhead,tube,13.79,1980.0,-0.2387,7.7,7.7,457.0,5.0
14155,,tube,,1316.0,0.0238,,5.7,625.0,1.9
89,Thompson,tube,,5642.0,-0.363,3.6,3.6,76.0,4.8
17069,,,10.34,7880.0,-0.0134,10.3,10.3,,4.5
6274,Thompson,tube,3.9,4136.0,-0.0412,10.8,10.8,432.0,4.9
19206,Thompson,tube,,7690.0,-0.0633,10.3,10.3,762.0,6.6
22353,Thompson,tube,10.34,5696.0,-0.0569,10.3,10.3,762.0,7.6
30876,Thompson,tube,3.9,,0.0763,10.8,,432.0,3.9
2574,Thompson,,10.34,4855.0,-0.12,10.3,10.3,762.0,6.6
27659,,tube,6.89,5289.0,-0.0378,10.3,10.3,794.0,7.7
7928,Weatherhead,,13.79,1627.0,0.0334,7.7,7.7,457.0,2.3
6045,Thompson,tube,10.34,4986.0,-0.1212,10.3,10.3,762.0,6.7
10856,Janssen,,,1519.0,0.0384,12.7,42.3,,2.5
15973,Thompson,tube,6.83,4014.0,-0.0298,10.8,10.8,,3.9
2729,Thompson,tube,11.03,,0.0461,11.5,11.5,,2.8
16431,Thompson,,7.0,3458.0,0.0335,,10.8,864.0,3.8
21009,,tube,12.07,2590.0,-0.0296,1.9,1.9,152.0,4.3
3513,Thompson,tube,6.89,5493.0,-0.0757,37.5,37.5,1953.0,3.9
31348,Beus,annulus,13.79,1355.0,0.1439,5.6,,2134.0,1.3
5581,,tube,13.79,1316.0,-0.3339,4.7,4.7,318.0,4.3
4806,Thompson,tube,13.79,3146.0,-0.0296,1.9,1.9,152.0,5.6
27813,Thompson,tube,6.86,4069.0,0.0858,,5.6,432.0,2.0
2873,Kossolapov,plate,0.1,524.0,-0.0929,15.0,120.0,10.0,5.9
22613,Richenderfer,,0.1,1000.0,-0.0096,15.0,120.0,10.0,4.3
26137,Weatherhead,tube,13.79,,-0.0276,7.7,7.7,457.0,3.0
2352,Thompson,,13.79,7012.0,-0.0042,4.7,4.7,318.0,4.4
2738,Thompson,,15.51,2061.0,-0.0557,1.9,1.9,152.0,5.8
12714,Thompson,tube,,4069.0,0.0636,9.3,9.3,1524.0,2.0
1855,Janssen,,8.27,1519.0,0.0545,12.7,42.3,1778.0,3.0
19015,Thompson,tube,17.24,,-0.1342,1.9,1.9,,3.5
31260,Weatherhead,tube,13.79,1343.0,-0.0898,11.1,,457.0,3.7
13941,Peskov,,12.0,4750.0,0.0087,10.0,10.0,1300.0,4.3
19843,Thompson,tube,13.79,1682.0,-0.0158,7.7,7.7,457.0,4.0
19137,,tube,13.79,5249.0,0.0753,5.7,5.7,,2.7
6940,Janssen,annulus,6.92,1533.0,0.1482,,22.3,1829.0,2.3
20293,Thompson,tube,13.79,3716.0,0.0885,4.6,4.6,318.0,3.5
18730,Thompson,tube,,882.0,-0.0385,,7.7,457.0,3.5
13426,Beus,annulus,15.51,1409.0,-0.0466,5.6,15.2,2134.0,2.0
22273,Thompson,tube,13.79,1980.0,-0.0102,4.7,4.7,318.0,5.1
27391,Thompson,tube,13.79,7364.0,-0.0798,,4.7,318.0,4.1
17827,Thompson,tube,6.89,5221.0,-0.0404,10.3,10.3,,7.3
22244,Janssen,annulus,6.89,1356.0,0.0033,,38.1,914.0,4.3
1984,Thompson,,6.89,,-0.0298,37.5,,1953.0,3.9
12416,Williams,tube,15.17,2685.0,0.0177,,9.5,1836.0,2.0
28878,,plate,0.51,2000.0,0.0028,15.0,120.0,10.0,5.3
24909,Janssen,annulus,9.65,5561.0,-0.0035,12.7,38.1,914.0,4.9
13262,,tube,13.79,821.0,0.099,7.8,7.8,591.0,1.3
7225,Thompson,,13.79,6144.0,-0.1989,4.7,,318.0,9.0
11164,Kossolapov,plate,0.1,912.0,-0.1293,15.0,120.0,10.0,13.3
28292,Thompson,tube,13.79,2306.0,-0.2387,3.6,3.6,76.0,6.6
27501,Beus,,13.79,2731.0,-0.008,,15.2,,2.5
17755,Janssen,annulus,6.89,2794.0,-0.0825,6.4,15.9,914.0,9.3
21305,Janssen,,6.85,1533.0,0.186,,22.3,,2.2
1823,,tube,13.79,2048.0,-0.0015,11.1,11.1,457.0,2.8
2659,Janssen,annulus,6.89,,0.1932,8.5,22.3,1829.0,1.9
29203,Thompson,tube,6.89,,0.0379,10.8,,,2.5
25013,Thompson,tube,,2680.0,0.0047,1.9,1.9,152.0,5.7
30036,Thompson,tube,6.89,,-0.0434,10.3,,794.0,7.2
29324,,tube,13.79,4679.0,-0.0069,4.7,,318.0,5.0
16675,Thompson,tube,6.89,,-0.0414,23.6,23.6,610.0,4.9
23186,Thompson,tube,13.79,,-0.141,4.7,4.7,318.0,5.5
27063,Thompson,tube,13.79,,-0.0251,,4.7,318.0,13.3
12968,Williams,tube,5.52,4008.0,0.0496,9.5,9.5,1836.0,2.3
28198,Janssen,annulus,9.65,1519.0,-0.0404,12.7,42.3,1778.0,2.2
9543,Thompson,tube,,2889.0,-0.1208,1.9,1.9,152.0,4.9
26540,Thompson,tube,10.34,5696.0,-0.0404,10.3,10.3,762.0,3.8
23710,Weatherhead,,13.79,,0.0249,7.7,7.7,457.0,2.2
1124,Thompson,,6.89,,0.195,23.6,23.6,1972.0,2.8
10843,Thompson,tube,6.89,2645.0,-0.0833,3.6,3.6,76.0,5.9
7816,Thompson,tube,2.63,2767.0,-0.1221,3.0,3.0,150.0,4.6
1881,,tube,18.96,2075.0,-0.1209,1.9,1.9,152.0,3.8
10683,Thompson,tube,,1885.0,-0.1004,1.9,,152.0,2.5
2827,Thompson,,13.79,1316.0,-0.0123,5.7,5.7,625.0,7.9
19213,Thompson,,13.79,1668.0,0.0334,7.7,,457.0,2.5
1074,Thompson,tube,10.51,2550.0,0.0069,4.6,4.6,229.0,4.5
18640,Thompson,tube,,2007.0,0.0594,,7.8,591.0,8.0
30266,Weatherhead,tube,13.79,2563.0,-0.0487,7.7,,457.0,3.5
22178,Thompson,tube,,1313.0,0.0247,5.7,5.7,625.0,1.7
323,Weatherhead,tube,13.79,1614.0,0.1275,7.7,,457.0,1.5
11826,,tube,13.79,1233.0,-0.3338,4.7,4.7,318.0,4.7
29611,Thompson,tube,13.79,2658.0,0.1698,,7.7,457.0,1.8
7156,Thompson,tube,11.03,,0.0788,10.8,10.8,864.0,2.8
4949,Mortimore,,,1352.0,0.1404,5.0,13.3,2134.0,2.2
4891,Weatherhead,tube,13.79,2645.0,-0.2387,7.7,7.7,457.0,5.8
28592,Thompson,tube,6.86,2034.0,-0.0415,,10.8,216.0,5.1
17211,,tube,,1736.0,0.0109,7.8,7.8,591.0,2.7
20631,Thompson,,6.89,5520.0,-0.0512,23.6,23.6,1972.0,4.0
17786,Weatherhead,tube,13.79,1354.0,0.0334,11.1,11.1,,2.9
5712,Weatherhead,tube,,929.0,-0.2364,,7.7,457.0,3.8
18077,Thompson,tube,13.79,3811.0,0.0224,7.8,7.8,,2.2
8272,Beus,annulus,15.51,3690.0,-0.0635,5.6,15.2,2134.0,2.9
24949,,tube,0.62,4700.0,-0.0202,3.0,3.0,100.0,8.1
12346,Thompson,tube,6.86,,0.0763,10.8,10.8,216.0,4.4
20554,Thompson,tube,6.89,7554.0,0.0609,10.3,10.3,762.0,4.4
2683,Thompson,tube,13.79,,0.1693,7.7,7.7,457.0,2.3
26562,Weatherhead,tube,13.79,,0.0929,7.7,,457.0,1.9
8801,Williams,tube,15.17,4986.0,0.0128,9.5,9.5,1836.0,2.5
26460,,tube,10.34,6049.0,-0.1224,,10.3,762.0,6.6
22542,Mortimore,annulus,8.27,2731.0,0.1641,5.0,13.3,,1.8
7486,Thompson,tube,13.79,4299.0,0.0533,4.7,4.7,318.0,3.0
18348,Thompson,tube,3.45,1214.0,0.0647,3.6,,76.0,2.2
2469,,annulus,6.92,2278.0,0.1703,8.5,22.3,2743.0,2.7
302,Thompson,tube,6.86,4096.0,0.0005,10.8,,,3.8
26324,Peskov,tube,,4028.0,0.0114,10.0,10.0,400.0,3.8
20932,Thompson,tube,13.79,,0.1836,7.7,7.7,457.0,1.8
6591,Janssen,annulus,7.05,1614.0,0.1857,8.5,,2591.0,2.1
30784,Thompson,tube,,,-0.0569,10.3,10.3,762.0,7.7
7741,Beus,annulus,15.51,,0.0238,5.6,15.2,2134.0,1.2
14240,Peskov,tube,16.0,3861.0,0.0515,10.0,10.0,520.0,2.9
12694,,tube,13.79,,0.0482,4.7,,318.0,3.3
3246,Janssen,annulus,6.89,2767.0,0.0334,,38.1,914.0,3.5
4629,Thompson,tube,13.79,,0.0718,,7.8,591.0,5.0
1185,Thompson,tube,13.79,4299.0,0.0733,4.7,4.7,318.0,6.8
336,Thompson,tube,13.79,1492.0,0.0886,7.8,7.8,591.0,2.5
23993,Thompson,tube,13.79,1492.0,0.1005,7.8,7.8,591.0,2.2
23396,Thompson,tube,6.89,7554.0,-0.0254,10.3,10.3,,5.2
26660,Thompson,tube,3.9,4055.0,0.0804,10.8,10.8,864.0,4.8
299,Thompson,tube,,5547.0,-0.0522,10.3,10.3,794.0,6.9
13909,Janssen,annulus,9.68,5615.0,0.0182,6.4,15.9,914.0,2.0
29551,Thompson,tube,18.96,,-0.246,1.9,1.9,696.0,4.5
30775,Thompson,tube,3.83,,0.0238,9.3,9.3,1359.0,2.5
6699,Janssen,annulus,6.89,2292.0,0.0384,4.6,11.3,1778.0,2.9
19571,Beus,annulus,15.51,1364.0,0.1227,5.6,15.2,2134.0,1.9
14171,Thompson,tube,13.79,5900.0,-0.0833,,4.7,318.0,5.9
3612,Thompson,tube,6.89,1912.0,-0.0029,37.5,37.5,1953.0,5.0
9843,Thompson,tube,,,0.0005,10.8,,432.0,4.6
28304,Williams,tube,15.17,4062.0,-0.0053,9.5,,1836.0,3.3
31299,Thompson,tube,18.96,2726.0,-0.3826,1.9,1.9,152.0,1.9
16497,Thompson,tube,13.79,694.0,0.0145,7.7,7.7,,2.3
1250,Janssen,,8.27,1519.0,0.0522,12.7,42.3,1778.0,2.5
13527,Thompson,tube,7.0,3770.0,0.0477,10.8,10.8,864.0,4.6
12026,Thompson,,6.89,3797.0,-0.0322,,10.3,762.0,3.7
21288,Peskov,tube,20.0,2439.0,-0.0472,10.0,,,2.8
14096,Janssen,annulus,6.96,2767.0,0.0035,12.7,38.1,914.0,3.7
14614,Richenderfer,plate,0.1,1277.0,-0.0187,15.0,120.0,10.0,8.9
8984,Thompson,tube,12.07,3920.0,-0.0047,,1.9,,3.9
18752,,annulus,13.79,2292.0,0.0479,12.7,42.3,1778.0,2.6
15853,,annulus,6.89,2278.0,0.1498,8.5,22.3,,2.2
22330,,,13.79,739.0,0.1503,,4.7,318.0,2.9
1821,Thompson,tube,0.1,500.0,-0.0456,10.8,10.8,38.0,7.0
14842,Thompson,,13.79,3580.0,0.0827,4.7,4.7,305.0,3.7
19660,Richenderfer,tube,,1000.0,-0.0443,15.0,120.0,10.0,9.3
9772,Thompson,tube,13.79,1193.0,0.0145,7.8,7.8,591.0,3.1
17055,,tube,12.0,1944.0,-0.0629,10.0,10.0,1000.0,4.3
2068,,tube,13.79,4062.0,0.097,9.5,9.5,,1.6
2993,Thompson,tube,3.45,4286.0,0.0206,10.3,10.3,762.0,5.2
8350,Weatherhead,tube,13.79,1482.0,0.0229,,7.7,457.0,9.7
17819,Thompson,tube,18.96,3458.0,-0.0858,1.9,,152.0,2.7
6825,Mortimore,annulus,13.79,3637.0,-0.0233,5.0,13.3,2134.0,3.3
19566,Peskov,tube,16.0,,0.1284,10.0,10.0,565.0,1.2
14413,Thompson,,15.51,1994.0,0.0886,,1.9,696.0,1.5
31355,Janssen,annulus,6.89,1533.0,0.0374,8.5,22.3,2743.0,4.3
3763,Thompson,tube,10.0,4986.0,-0.3201,10.0,10.0,660.0,8.0
23205,Thompson,tube,6.93,3323.0,0.1294,5.6,5.6,216.0,3.6
10824,Thompson,tube,17.24,2984.0,-0.072,1.9,1.9,152.0,4.8
29690,Thompson,tube,6.89,3825.0,0.0134,10.3,10.3,762.0,3.4
25150,Thompson,tube,3.86,2034.0,0.139,10.8,,432.0,4.8
4576,Thompson,tube,,,-0.0259,,10.3,762.0,5.8
11125,Thompson,tube,13.79,,0.1394,7.8,7.8,591.0,1.9
26994,Thompson,tube,3.45,7893.0,0.0302,10.3,,762.0,5.0
25286,Beus,annulus,11.03,2717.0,0.0537,5.6,15.2,,1.2
7120,Richenderfer,,6.62,1000.0,-0.0373,15.0,120.0,10.0,3.2
22774,Thompson,tube,13.79,852.0,0.0854,4.7,4.7,318.0,2.2
6540,Thompson,tube,6.89,7961.0,-0.0229,10.3,10.3,762.0,4.8
27282,Thompson,tube,,5262.0,-0.0058,10.3,10.3,762.0,5.4
19741,Thompson,tube,18.27,861.0,-0.129,3.0,,35.0,1.9
22709,Thompson,tube,13.79,3906.0,0.0102,4.7,4.7,318.0,3.3
9550,Thompson,tube,,5588.0,-0.022,7.7,7.7,457.0,5.3
11393,Janssen,annulus,9.68,1162.0,0.0301,12.7,42.3,1778.0,3.4
12012,Thompson,tube,13.79,932.0,0.0334,4.7,4.7,318.0,2.2
9619,Thompson,tube,6.89,,-0.0478,10.8,10.8,216.0,3.7
4914,Thompson,,,3797.0,-0.0101,23.6,23.6,,4.9
3245,Thompson,tube,3.45,2862.0,0.1494,10.3,10.3,762.0,4.5
13145,Thompson,tube,17.24,,-0.0821,1.9,,152.0,2.7
31364,Beus,,,1354.0,0.1926,5.6,15.2,2134.0,3.1
5651,Beus,annulus,,1355.0,0.1743,5.6,15.2,2134.0,1.3
28019,Thompson,tube,17.24,3662.0,-0.0515,,1.9,,2.2
28594,Weatherhead,tube,13.79,2034.0,-0.1381,,7.7,,0.8
25581,Thompson,tube,13.79,949.0,-0.0309,7.8,7.8,591.0,4.9
15869,Thompson,tube,13.79,1410.0,-0.1235,4.7,,318.0,8.0
24756,Thompson,tube,13.79,2740.0,0.1282,,7.7,457.0,2.6
24489,Thompson,,6.89,3648.0,-0.0269,,10.3,762.0,8.9
29907,Thompson,tube,7.0,4069.0,0.0518,10.8,10.8,864.0,3.8
11386,Beus,,15.51,1409.0,0.0721,5.6,15.2,2134.0,3.1
15082,Beus,annulus,,1339.0,-0.0185,,15.2,2134.0,2.1
15212,Thompson,tube,3.45,5967.0,0.0206,,10.3,762.0,4.4
10223,Thompson,tube,6.86,4069.0,0.0907,10.8,10.8,,3.4
15871,Williams,,13.79,,0.0406,9.5,9.5,1836.0,2.2
16842,Thompson,,13.79,666.0,-0.0412,7.7,7.7,,4.9
22063,,tube,12.07,2455.0,-0.0029,,1.9,696.0,3.6
2067,,tube,13.79,2604.0,0.0379,1.9,1.9,696.0,3.6
28017,Janssen,,6.89,,0.03,12.7,42.3,1778.0,3.1
25196,Richenderfer,plate,0.2,1500.0,-0.1186,15.0,120.0,10.0,8.3
25636,Thompson,tube,6.89,3797.0,-0.0134,23.6,,610.0,4.5
22651,Weatherhead,tube,13.79,339.0,0.0384,11.1,11.1,457.0,2.3
24786,,tube,,,0.0827,4.7,4.7,,13.3
4606,Weatherhead,tube,,1356.0,-0.0158,,7.7,457.0,3.1
21471,Thompson,tube,10.34,4042.0,0.0874,10.8,10.8,1524.0,2.9
4882,Peskov,tube,10.0,4700.0,-0.0868,10.0,10.0,660.0,5.1
14802,Thompson,tube,13.79,5588.0,-0.4486,5.7,5.7,625.0,4.5
13672,Thompson,tube,6.96,1031.0,0.0477,10.8,10.8,,3.8
21393,Thompson,tube,10.34,3947.0,-0.0297,10.3,10.3,762.0,12.7
11693,Thompson,tube,13.79,,0.0073,4.7,,318.0,4.4
1968,Janssen,annulus,8.27,,0.0403,12.7,,1778.0,3.2
15020,,tube,15.51,2455.0,-0.0221,1.9,1.9,696.0,4.1
21086,,tube,13.79,732.0,0.1693,7.8,7.8,591.0,2.1
12532,Beus,annulus,11.03,,0.0334,5.6,15.2,,2.2
16616,Janssen,annulus,6.89,551.0,0.0886,12.7,38.1,737.0,3.5
27941,Thompson,,17.24,3675.0,0.1077,1.9,1.9,,2.8
23146,Thompson,tube,17.24,2197.0,-0.0296,1.9,1.9,152.0,4.3
17273,Williams,tube,11.03,4071.0,-0.0134,9.5,,1836.0,11.3
27558,Thompson,tube,13.79,2685.0,-0.0389,7.7,,457.0,3.2
16858,Richenderfer,plate,0.51,2000.0,-0.0407,1.9,1.9,10.0,8.1
14345,Janssen,annulus,6.92,2278.0,0.1946,8.5,,2743.0,2.1
7560,Thompson,,,3452.0,0.0491,10.3,10.3,762.0,2.5
13975,Thompson,tube,13.79,3608.0,-0.0592,4.7,4.7,318.0,3.6
21687,Peskov,tube,10.0,4986.0,-0.0465,10.0,10.0,762.0,4.1
7073,Thompson,tube,13.79,6144.0,0.0077,4.7,,318.0,3.0
24391,Thompson,,,4066.0,0.1651,10.8,10.8,1727.0,3.4
3393,Thompson,tube,11.07,,0.0854,,9.3,762.0,4.8
23545,Thompson,tube,,3811.0,-0.0087,,1.9,152.0,5.3
22594,,tube,6.89,2319.0,-0.0103,12.4,12.4,610.0,4.3
21151,Thompson,,13.79,,-0.2001,3.6,3.6,76.0,4.4
25907,Thompson,tube,13.79,731.0,-0.1044,,5.7,625.0,3.0
12812,Thompson,,6.89,3960.0,-0.0229,10.3,10.3,762.0,4.9
2126,Peskov,,10.0,1944.0,0.0073,10.0,10.0,400.0,4.2
28743,Thompson,,18.96,2428.0,-0.0466,,1.9,696.0,2.0
2780,Janssen,annulus,6.91,1533.0,0.2085,8.5,22.3,2743.0,2.0
21977,,tube,,7554.0,-0.0268,10.3,10.3,762.0,5.5
22306,Thompson,tube,,2685.0,-0.0395,1.9,1.9,696.0,3.0
19302,Thompson,tube,13.79,1332.0,0.0226,7.7,7.7,457.0,2.9
30861,Thompson,tube,13.79,5574.0,0.0863,4.7,4.7,318.0,4.6
15374,Janssen,,6.87,1519.0,0.1549,8.5,22.3,,2.3
21318,Thompson,tube,10.34,3906.0,0.0102,10.3,10.3,,4.0
2304,Thompson,,13.79,1872.0,-0.3559,4.7,4.7,318.0,5.0
19616,,tube,13.79,,0.0723,4.6,4.6,295.0,2.3
10829,Thompson,tube,13.79,6212.0,-0.0595,4.7,4.7,,6.8
16152,Williams,tube,13.79,,0.0438,9.5,9.5,1836.0,3.2
25001,Thompson,tube,13.79,7690.0,-0.0822,4.7,4.7,,3.0
6859,Thompson,tube,3.86,,-0.0133,10.8,10.8,432.0,4.5
29117,Thompson,tube,13.79,3648.0,0.0126,5.7,5.7,,3.0
12554,Williams,,13.79,3784.0,0.0332,9.5,9.5,1836.0,2.5
10593,Thompson,tube,10.34,6212.0,-0.1403,,10.3,762.0,7.1
26472,,tube,6.89,6347.0,-0.0378,10.3,10.3,794.0,5.0
22702,Thompson,tube,13.79,4774.0,0.0802,4.7,4.7,305.0,6.8
8252,Thompson,tube,,882.0,-0.0943,7.7,7.7,457.0,2.2
6658,Janssen,annulus,6.92,2292.0,0.1145,8.5,24.6,1778.0,2.4
26544,Beus,annulus,,3784.0,0.0238,5.6,15.2,2134.0,1.9
27930,Peskov,tube,12.0,2439.0,0.1103,,10.0,1650.0,1.8
13487,Thompson,tube,13.79,2645.0,0.0848,7.7,,457.0,4.5
15221,Williams,,13.79,4071.0,-0.0124,9.5,9.5,,5.5
14132,Janssen,,6.92,2292.0,-0.0135,12.7,42.3,1778.0,3.7
13841,,tube,8.89,4069.0,0.0436,11.5,11.5,1524.0,2.9
26113,Thompson,tube,13.79,4062.0,0.0334,,5.6,2134.0,1.7
23574,Beus,annulus,13.79,3677.0,0.0481,5.6,15.2,,15.6
11401,Beus,annulus,13.79,3701.0,0.0535,5.6,15.2,2134.0,2.1
9112,Thompson,tube,,1736.0,0.0484,,7.8,591.0,2.3
12755,,tube,6.89,3852.0,-0.0515,23.6,23.6,610.0,6.9
5598,,tube,6.89,7554.0,-0.0595,10.3,,762.0,6.5
1650,Peskov,tube,18.0,1944.0,-0.2306,10.0,10.0,1650.0,2.2
6938,Thompson,tube,10.34,6049.0,-0.0684,10.3,10.3,,6.6
28401,Thompson,tube,13.79,7107.0,-0.4505,4.7,4.7,,3.4
13764,Thompson,,6.89,,0.0032,5.6,5.6,432.0,4.8
20405,Thompson,tube,,3553.0,-0.0296,1.9,,152.0,8.6
12217,Weatherhead,tube,13.79,2699.0,0.0334,11.1,11.1,457.0,2.3
28571,,,,4069.0,0.1282,11.5,11.5,1524.0,3.1
12298,Thompson,,11.0,4069.0,0.0585,9.3,9.3,,2.9
10570,,tube,13.79,,-0.3273,4.7,4.7,318.0,4.7
13612,Thompson,tube,10.34,4815.0,-0.1227,,10.3,762.0,6.7
18091,Thompson,,10.34,3960.0,-0.1227,10.3,,762.0,4.6
17553,Janssen,annulus,9.65,5547.0,-0.0007,12.7,38.1,914.0,3.8
16644,,tube,13.79,1333.0,0.0142,7.7,7.7,457.0,1.9
14785,Thompson,tube,13.79,,0.0621,,4.6,,2.2
25875,Thompson,tube,6.89,4986.0,-0.0338,10.3,10.3,,6.6
26362,,tube,6.89,3784.0,-0.0434,10.3,10.3,794.0,9.3
13573,Thompson,tube,15.51,2034.0,-0.0815,1.9,1.9,696.0,2.1
2601,Janssen,annulus,6.89,1519.0,0.1295,12.7,42.3,2743.0,3.9
26416,Thompson,tube,,2699.0,-0.1174,1.9,1.9,152.0,2.2
20088,Thompson,tube,13.79,7717.0,-0.4477,3.6,,,12.8
847,Thompson,,13.79,1492.0,0.1034,7.8,7.8,591.0,2.0
21129,,tube,,,-0.1918,1.9,1.9,152.0,4.5
4971,,tube,6.89,3797.0,-0.0434,23.6,23.6,610.0,3.9
17225,Beus,annulus,11.03,2731.0,0.1556,5.6,,,1.0
13948,Beus,annulus,13.79,675.0,0.1512,5.6,15.2,2134.0,2.6
14342,,tube,13.79,2658.0,-0.0375,7.7,7.7,457.0,4.6
17823,Thompson,,6.72,4028.0,0.0613,10.8,10.8,,3.2
12376,Thompson,tube,7.14,2590.0,0.0603,4.6,4.6,229.0,4.6
14482,Thompson,tube,6.86,4062.0,0.0049,10.8,10.8,864.0,4.2
24965,Weatherhead,tube,13.79,1349.0,0.0808,11.1,11.1,,1.5
22180,Janssen,annulus,6.89,734.0,-0.0298,12.7,38.1,914.0,3.4
29718,,tube,,,-0.3657,,,864.0,3.5
82,Thompson,tube,10.34,4842.0,-0.1205,10.3,10.3,762.0,4.7
24075,Janssen,annulus,,,0.0376,12.7,42.3,1778.0,3.8
23701,,tube,13.79,7107.0,-0.0531,4.7,4.7,318.0,3.6
12514,Kossolapov,tube,0.1,336.0,-0.1046,,120.0,10.0,4.2
18964,Thompson,tube,,5574.0,-0.1488,4.7,4.7,318.0,4.5
15637,Thompson,tube,,2712.0,0.0603,23.6,23.6,610.0,2.0
18784,Thompson,tube,6.86,1031.0,0.0145,10.8,10.8,432.0,4.0
6232,Williams,tube,13.79,1335.0,0.0177,,,1836.0,2.1
22681,Janssen,annulus,6.92,1519.0,-0.0265,8.5,24.6,1778.0,2.2
29244,Janssen,,9.68,,0.0116,12.7,42.3,1778.0,6.6
5488,Weatherhead,tube,13.79,2021.0,0.0886,7.7,,457.0,1.8
2459,Weatherhead,tube,13.79,1980.0,0.0948,7.7,7.7,457.0,1.8
6904,,,13.79,3024.0,-0.0102,,4.7,305.0,2.1
3745,Janssen,annulus,6.89,2807.0,0.0476,6.4,15.9,914.0,2.4
30768,Beus,annulus,11.03,2729.0,0.0259,5.6,,,3.9
14648,Thompson,tube,13.79,,0.0985,7.8,7.8,591.0,2.2
1393,Thompson,,13.79,3174.0,-0.0577,4.6,4.6,591.0,3.9
23320,,tube,13.79,686.0,0.0334,11.1,11.1,,2.6
25302,Peskov,tube,12.0,4001.0,0.0103,,10.0,400.0,5.2
585,Weatherhead,tube,13.79,705.0,0.0001,7.7,7.7,457.0,4.3
31342,Thompson,tube,11.03,2712.0,0.0989,,11.5,1524.0,2.3
22820,Thompson,tube,3.45,,0.0647,3.6,,76.0,2.2
26768,Janssen,annulus,6.89,,0.0275,,11.3,1778.0,2.8
15425,Thompson,tube,6.89,7500.0,-0.0015,12.8,12.8,,3.5
23971,Thompson,tube,13.79,6157.0,-0.1438,3.6,3.6,76.0,5.6
17617,Thompson,,6.89,7215.0,0.0406,23.6,,1972.0,2.3
27678,Beus,annulus,15.51,1354.0,0.0707,5.6,15.2,2134.0,1.6
5754,Peskov,tube,16.0,1356.0,0.1725,,10.0,890.0,2.2
15167,,,3.9,4136.0,0.0379,5.6,5.6,432.0,3.9
30891,Thompson,tube,13.79,2740.0,0.0027,7.7,7.7,457.0,2.3
4331,Williams,,11.03,4027.0,0.1282,9.5,9.5,1836.0,1.5
15355,,tube,,2034.0,0.1407,10.8,10.8,432.0,2.0
25662,Weatherhead,tube,13.79,,0.0042,11.1,11.1,457.0,2.0
17565,Thompson,tube,10.34,4842.0,-0.0609,10.3,10.3,762.0,5.0
8915,Peskov,,16.0,1000.0,-0.0929,10.0,10.0,,2.9
25285,Thompson,tube,15.51,3701.0,0.0043,1.9,1.9,152.0,4.0
30115,Thompson,tube,10.34,7378.0,-0.0677,10.3,10.3,762.0,4.3
6587,Thompson,,13.79,2997.0,0.0334,7.8,7.8,591.0,2.9
27776,,tube,,2767.0,-0.0127,,1.9,696.0,2.9
27074,Thompson,tube,6.89,6062.0,-0.0596,,10.3,,4.3
26068,Thompson,,18.96,2740.0,-0.1418,,1.9,152.0,4.2
14907,Richenderfer,annulus,,2000.0,0.0486,,120.0,10.0,3.6
16938,Thompson,,6.86,3784.0,-0.0257,10.8,10.8,216.0,3.1
26481,Thompson,tube,13.79,1383.0,0.1064,37.5,37.5,1953.0,2.5
5880,Janssen,annulus,9.68,5600.0,0.0145,12.7,38.1,914.0,3.1
31526,Thompson,tube,3.86,2034.0,0.0196,10.8,10.8,432.0,3.7
26746,Beus,annulus,11.03,2740.0,0.0886,5.6,,,1.0
3085,Peskov,,20.0,1944.0,0.0113,10.0,10.0,1650.0,3.2
18126,Peskov,tube,16.0,1000.0,-0.1258,10.0,10.0,565.0,4.1
8650,Thompson,tube,13.79,705.0,0.0674,4.7,4.7,305.0,2.1
29864,Thompson,,13.79,2672.0,-0.0389,7.7,7.7,457.0,4.7
22648,,tube,13.79,1655.0,0.0146,,7.7,457.0,2.5
5207,Peskov,tube,14.0,3056.0,0.1005,10.0,10.0,890.0,2.2
